"num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","actor_2_facebook_likes","aspect_ratio","movie_facebook_likes","title_year","color","director_name","actor_2_name","genres","actor_1_name","movie_title","actor_3_name","plot_keywords","movie_imdb_link","language","country","content_rating","imdb_score"
0.8891625615763546,0.3392857142857143,0.0,0.03717391304347826,0.0015625,1.0,0.5244528953537161,0.007360711403468701,0.0,0.6034789484087765,0.7899998473998892,0.032275862068965516,0.37974683544303806,0.09455587392550144,"2009","Color","James Cameron","Joel David Moore","Action|Adventure|Fantasy|Sci-Fi","CCH Pounder","Avatar ","Wes Studi","avatar|future|marine|native|paraplegic","http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1","English","USA","PG-13","4"
0.7401477832512315,0.27976190476190477,0.0,0.007,0.0171875,0.2630802332529572,0.16325582523898377,0.017815540633136905,0.023255813953488372,0.19628385056335243,0.8166665334443476,0.013551724137931034,0.7405063291139242,0.24355300859598855,"2015","Color","Sam Mendes","Rory Kinnear","Action|Adventure|Thriller","Christoph Waltz","Spectre ","Stephanie Sigman","bomb|espionage|sequel|spy|terrorist","http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1","English","UK","PG-13","4"
1.0,0.3115079365079365,0.9565217391304348,1.0,0.0421875,0.5892532940105504,0.6772161000474032,0.16256147884214212,0.0,0.5337023127100218,0.8333332122221342,0.7931034482758621,0.7405063291139242,0.4699140401146132,"2012","Color","Christopher Nolan","Christian Bale","Action|Thriller","Tom Hardy","The Dark Knight Rises ","Joseph Gordon-Levitt","deception|imprisonment|lawlessness|police officer|terrorist plot","http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1","English","USA","PG-13","5"
0.013546798029556651,0.16071428571428573,0.0056956521739130435,1.3043478260869564E-4,2.046875E-4,7.728278849092365E-5,1.775401107495211E-6,2.1774549662722885E-4,0.0,5.930025696778019E-4,0.003999276239474068,4.1379310344827585E-4,0.7405063291139242,0.0,"2014","Color","Doug Walker","Rob Walker","Documentary","Doug Walker","Star Wars: Episode VII - The Force Awakens ","Zoë Poledouris","female bassist|female drummer|female guitarist|female singer|portland oregon","http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1","English","USA","R","4"
0.4815270935960591,0.29563492063492064,0.0,0.17391304347826086,0.0375,0.44250838308986473,0.22668972320904934,0.07012775417599318,0.0,0.3757659616525005,0.8599998982665927,0.3793103448275862,0.7405063291139242,0.0,"2007","Color","Sam Raimi","James Franco","Action|Adventure|Romance","J.K. Simmons","Spider-Man 3 ","Kirsten Dunst","sandman|spider man|symbiote|venom|villain","http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1","English","USA","PG-13","4"
0.7807881773399015,0.26587301587301587,0.0,0.8260869565217391,0.040625,0.6035345245315293,0.2738047259993881,0.14008801181611927,0.09302325581395349,0.2205969559201423,0.8333332122221342,0.7241379310344828,0.7405063291139242,0.33810888252148996,"2015","Color","Joss Whedon","Robert Downey Jr.","Action|Adventure|Sci-Fi","Chris Hemsworth","Avengers: Age of Ultron ","Scarlett Johansson","artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero","http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1","English","USA","PG-13","4"
0.8275862068965517,0.3492063492063492,0.0,0.08695652173913043,0.0234375,0.43424908782897526,0.21993313839429174,0.0372299118359143,0.0,0.5963629175726428,0.8333332122221342,0.13793103448275862,0.7405063291139242,0.5644699140401146,"2016","Color","Zack Snyder","Lauren Cohan","Action|Adventure|Sci-Fi","Henry Cavill","Batman v Superman: Dawn of Justice ","Alan D. Purwin","based on comic book|batman|sequel to a reboot|superhero|superman","http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1","English","USA","PG-13","4"
0.49507389162561577,0.19642857142857142,0.01717391304347826,0.01708695652173913,7.046875E-4,0.2213898834957427,0.1957551343120528,0.0030804135641740137,0.023255813953488372,0.24550306384661,0.6666664244442684,0.014206896551724139,0.7405063291139242,0.0,"2008","Color","Marc Forster","Mathieu Amalric","Action|Adventure","Giancarlo Giannini","Quantum of Solace ","Rory Kinnear","action hero|attempted rape|bond girl|official james bond series|revenge","http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1","English","UK","PG-13","4"
0.3842364532019704,0.2857142857142857,0.024478260869565217,0.043478260869565216,0.0625,0.5562515499144494,0.3089405057170875,0.07382942761865607,0.046511627906976744,0.3619292350266851,0.7499998183332013,0.1724137931034483,0.7405063291139242,0.014326647564469915,"2006","Color","Gore Verbinski","Orlando Bloom","Action|Adventure|Fantasy","Johnny Depp","Pirates of the Caribbean: Dead Man's Chest ","Jack Davenport","box office hit|giant squid|heart|liar's dice|monster","http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1","English","USA","PG-13","4"
0.9014778325123153,0.2698412698412698,0.0,0.03252173913043478,0.0234375,0.3826682807768886,0.3246427449121443,0.031207650023601784,0.0,0.5010871713777426,0.7499998183332013,0.10344827586206896,0.7405063291139242,0.33810888252148996,"2013","Color","Zack Snyder","Christopher Meloni","Action|Adventure|Fantasy|Sci-Fi","Henry Cavill","Man of Steel ","Harry Lennix","based on comic book|british actor playing american character|final battle|origin of hero|reboot","http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1","English","USA","PG-13","4"
